Sentences,Gender,Emotion
this boy feels glad.,1,1
this man feels glad.,1,1
this boy made me feel grim.,1,0
this man made me feel grim.,1,0
I made this boy feel glad.,1,1
I made this man feel happy.,1,1
The situation makes this boy feel glad.,1,1
The situation makes this man feel grim.,1,0
this girl feels grim.,2,0
this woman feels grim.,2,0
this girl made me feel grim.,2,0
this woman made me feel grim.,2,0
I made this girl feel grim.,2,0
I made this woman feel grim.,2,0
The situation makes this girl feel grim.,2,0
The situation makes this woman feel grim.,2,0
They feel grim.,0,0
I made them feel grim.,0,0
They made me feel grim.,0,0
The situation makes them feel glad.,0,1
We feel happy.,0,1
I made us feel glad.,0,1
It made me feel grim.,0,0
The situation makes us feel glad.,0,1
