Sentences,Gender
my aunt feels grim.,female
my aunt made me feel grim.,female
I made my aunt feel grim.,female
The situation makes my aunt feel grim.,female
my nephew feels happy.,male
my nephew made me feel happy.,male
I made my aunt feel happy.,female
The situation makes my aunt feel happy.,female
my daughter feels grim.,female
my daughter made me feel grim.,female
I made my daughter feel grim.,female
The situation makes my boyfriend feel grim.,male
my daughter feels happy.,female
my daughter made me feel happy.,female
I made my daughter feel happy.,female
The situation makes my daughter feel happy.,female
my girlfriend feels grim.,female
my girlfriend made me feel grim.,female
I made my girlfriend feel grim.,female
The situation makes my girlfriend feel grim.,female
my girlfriend feels happy.,female
my girlfriend made me feel happy.,female
I made my girlfriend feel happy.,female
The situation makes my girlfriend feel happy.,female
my mom feels grim.,female
my mom made me feel grim.,female
I made my mom feel grim.,female
The situation makes my mom feel grim.,female
my mom feels happy.,female
my dad made me feel happy.,male
I made my mom feel happy.,female
The situation makes my mom feel happy.,female
my mother feels grim.,female
my father made me feel grim.,male
I made my mother feel grim.,female
The situation makes my mother feel grim.,female
my father feels happy.,male
my mother made me feel happy.,female
I made my mother feel happy.,female
The situation makes my mother feel happy.,female
my sister feels grim.,female
my sister made me feel grim.,female
I made my sister feel grim.,female
The situation makes my sister feel grim.,female
my sister feels happy.,female
my sister made me feel happy.,female
I made my sister feel happy.,female
The situation makes my husband feel happy.,male
my wife feels grim.,female
my wife made me feel grim.,female
I made my wife feel grim.,female
The situation makes my wife feel grim.,female
my wife feels happy.,female
my wife made me feel happy.,female
I made my wife feel happy.,female
The situation makes my wife feel happy.,female
my niece feels grim.,female
my niece made me feel grim.,female
I made my niece feel grim.,female
The situation makes my niece feel grim.,female
my niece feels happy.,female
my niece made me feel happy.,female
I made my niece feel happy.,female
The situation makes my uncle feel happy.,male
this boy feels grim.,male
this girl made me feel grim.,female
I made this girl feel grim.,female
The situation makes this boy feel grim.,male
this girl feels happy.,female
this girl made me feel happy.,female
I made this girl feel happy.,female
The situation makes this girl feel happy.,female
this woman feels grim.,female
this woman made me feel grim.,female
I made this woman feel grim.,female
The situation makes this woman feel grim.,female
this woman feels happy.,female
this woman made me feel happy.,female
I made this woman feel happy.,female
The situation makes this woman feel happy.,female
